 VARIABLES = "x", "y", "Value"
 ZONE I=           0 , J=           0 DATAPACKING=POINT
   17.000000000000000       5.24536680022325126E-007  6.81897684023769365E-006
   18.000000000000000       5.24536680022325126E-007  6.99382240024097304E-006
   19.000000000000000       5.24536680022325126E-007  1.22460377096605865E-310
   20.000000000000000       5.24536680022325126E-007  1.74845560007448803E-007
   21.000000000000000       5.24536680022325126E-007  3.49691120014892258E-007
   22.000000000000000       5.24536680022325126E-007  5.24536680022325126E-007
   23.000000000000000       5.24536680022325126E-007  6.99382240029741847E-007
   24.000000000000000       5.24536680022325126E-007  8.74227800037137181E-007
   25.000000000000000       5.24536680022325126E-007  1.04907336004450583E-006
   26.000000000000000       5.24536680022325126E-007  1.22391892005184251E-006
   27.000000000000000       5.24536680022325126E-007  1.39876448005914149E-006
   28.000000000000000       5.24536680022325126E-007  1.57361004006639791E-006
   29.000000000000000       5.24536680022325126E-007  1.74845560007360626E-006
   30.000000000000000       5.24536680022325126E-007  1.92330116008076104E-006
   31.000000000000000       5.24536680022325126E-007  2.09814672008785716E-006
   32.000000000000000       5.24536680022325126E-007  2.27299228009488933E-006
   33.000000000000000       5.24536680022325126E-007  2.44783784010185162E-006
   34.000000000000000       5.24536680022325126E-007  2.62268340010873937E-006
   35.000000000000000       5.24536680022325126E-007  2.79752896011554622E-006
   36.000000000000000       5.24536680022325126E-007  2.97237452012226838E-006
   37.000000000000000       5.24536680022325126E-007  3.14722008012889905E-006
   38.000000000000000       5.24536680022325126E-007  3.32206564013543401E-006
   39.000000000000000       5.24536680022325126E-007  3.49691120014186733E-006
   40.000000000000000       5.24536680022325126E-007  3.67175676014819349E-006
  3.28909347599617209E-312  5.24536680022325126E-007  3.84660232015440785E-006
   1.0000000000000000       6.99382240029741847E-007  4.02144788016050362E-006
   2.0000000000000000       6.99382240029741847E-007  4.19629344016647827E-006
   3.0000000000000000       6.99382240029741847E-007  4.37113900017232248E-006
   4.0000000000000000       6.99382240029741847E-007  4.54598456017803454E-006
   5.0000000000000000       6.99382240029741847E-007  4.72083012018360685E-006
   6.0000000000000000       6.99382240029741847E-007  4.89567568018903601E-006
   7.0000000000000000       6.99382240029741847E-007  5.07052124019431440E-006
   8.0000000000000000       6.99382240029741847E-007  5.24536680019943862E-006
   9.0000000000000000       6.99382240029741847E-007  5.42021236020440107E-006
   10.000000000000000       6.99382240029741847E-007  5.59505792020919834E-006
   11.000000000000000       6.99382240029741847E-007  5.76990348021382536E-006
   12.000000000000000       6.99382240029741847E-007  5.94474904021827534E-006
   13.000000000000000       6.99382240029741847E-007  6.11959460022254407E-006
   14.000000000000000       6.99382240029741847E-007  6.29444016022662560E-006
   15.000000000000000       6.99382240029741847E-007  6.46928572023051485E-006
   16.000000000000000       6.99382240029741847E-007  6.64413128023420505E-006
   17.000000000000000       6.99382240029741847E-007  6.81897684023769365E-006
   18.000000000000000       6.99382240029741847E-007  6.99382240024097304E-006
   19.000000000000000       6.99382240029741847E-007   0.0000000000000000     
   20.000000000000000       6.99382240029741847E-007   0.0000000000000000     
   21.000000000000000       6.99382240029741847E-007   0.0000000000000000     
   22.000000000000000       6.99382240029741847E-007   0.0000000000000000     
   23.000000000000000       6.99382240029741847E-007   0.0000000000000000     
   24.000000000000000       6.99382240029741847E-007   0.0000000000000000     
   25.000000000000000       6.99382240029741847E-007   0.0000000000000000     
   26.000000000000000       6.99382240029741847E-007   0.0000000000000000     
   27.000000000000000       6.99382240029741847E-007   0.0000000000000000     
   28.000000000000000       6.99382240029741847E-007   0.0000000000000000     
   29.000000000000000       6.99382240029741847E-007   0.0000000000000000     
   30.000000000000000       6.99382240029741847E-007   0.0000000000000000     
   31.000000000000000       6.99382240029741847E-007   0.0000000000000000     
   32.000000000000000       6.99382240029741847E-007   0.0000000000000000     
   33.000000000000000       6.99382240029741847E-007   0.0000000000000000     
   34.000000000000000       6.99382240029741847E-007   0.0000000000000000     
   35.000000000000000       6.99382240029741847E-007   0.0000000000000000     
   36.000000000000000       6.99382240029741847E-007   0.0000000000000000     
   37.000000000000000       6.99382240029741847E-007   0.0000000000000000     
   38.000000000000000       6.99382240029741847E-007   0.0000000000000000     
   39.000000000000000       6.99382240029741847E-007   0.0000000000000000     
   40.000000000000000       6.99382240029741847E-007   0.0000000000000000     
  3.28909347599617209E-312  6.99382240029741847E-007   0.0000000000000000     
   1.0000000000000000       8.74227800037137181E-007   0.0000000000000000     
   2.0000000000000000       8.74227800037137181E-007   0.0000000000000000     
   3.0000000000000000       8.74227800037137181E-007   0.0000000000000000     
   4.0000000000000000       8.74227800037137181E-007   0.0000000000000000     
   5.0000000000000000       8.74227800037137181E-007   0.0000000000000000     
   6.0000000000000000       8.74227800037137181E-007   0.0000000000000000     
   7.0000000000000000       8.74227800037137181E-007   0.0000000000000000     
   8.0000000000000000       8.74227800037137181E-007   0.0000000000000000     
   9.0000000000000000       8.74227800037137181E-007   0.0000000000000000     
   10.000000000000000       8.74227800037137181E-007   0.0000000000000000     
   11.000000000000000       8.74227800037137181E-007   0.0000000000000000     
   12.000000000000000       8.74227800037137181E-007   0.0000000000000000     
   13.000000000000000       8.74227800037137181E-007   0.0000000000000000     
   14.000000000000000       8.74227800037137181E-007   0.0000000000000000     
   15.000000000000000       8.74227800037137181E-007   0.0000000000000000     
   16.000000000000000       8.74227800037137181E-007   0.0000000000000000     
   17.000000000000000       8.74227800037137181E-007   0.0000000000000000     
   18.000000000000000       8.74227800037137181E-007   0.0000000000000000     
   19.000000000000000       8.74227800037137181E-007   0.0000000000000000     
   20.000000000000000       8.74227800037137181E-007   0.0000000000000000     
   21.000000000000000       8.74227800037137181E-007   0.0000000000000000     
   22.000000000000000       8.74227800037137181E-007   0.0000000000000000     
   23.000000000000000       8.74227800037137181E-007   0.0000000000000000     
   24.000000000000000       8.74227800037137181E-007   0.0000000000000000     
   25.000000000000000       8.74227800037137181E-007   0.0000000000000000     
   26.000000000000000       8.74227800037137181E-007   0.0000000000000000     
   27.000000000000000       8.74227800037137181E-007   0.0000000000000000     
   28.000000000000000       8.74227800037137181E-007   0.0000000000000000     
   29.000000000000000       8.74227800037137181E-007   0.0000000000000000     
   30.000000000000000       8.74227800037137181E-007   0.0000000000000000     
   31.000000000000000       8.74227800037137181E-007   0.0000000000000000     
   32.000000000000000       8.74227800037137181E-007   0.0000000000000000     
   33.000000000000000       8.74227800037137181E-007   0.0000000000000000     
   34.000000000000000       8.74227800037137181E-007   0.0000000000000000     
   35.000000000000000       8.74227800037137181E-007   0.0000000000000000     
   36.000000000000000       8.74227800037137181E-007   0.0000000000000000     
   37.000000000000000       8.74227800037137181E-007   0.0000000000000000     
   38.000000000000000       8.74227800037137181E-007   0.0000000000000000     
   39.000000000000000       8.74227800037137181E-007   0.0000000000000000     
   40.000000000000000       8.74227800037137181E-007   0.0000000000000000     
  3.28909347599617209E-312  8.74227800037137181E-007   0.0000000000000000     
   1.0000000000000000       1.04907336004450583E-006   0.0000000000000000     
   2.0000000000000000       1.04907336004450583E-006   0.0000000000000000     
   3.0000000000000000       1.04907336004450583E-006   0.0000000000000000     
   4.0000000000000000       1.04907336004450583E-006   0.0000000000000000     
   5.0000000000000000       1.04907336004450583E-006   0.0000000000000000     
   6.0000000000000000       1.04907336004450583E-006   0.0000000000000000     
   7.0000000000000000       1.04907336004450583E-006   0.0000000000000000     
   8.0000000000000000       1.04907336004450583E-006   0.0000000000000000     
   9.0000000000000000       1.04907336004450583E-006   0.0000000000000000     
   10.000000000000000       1.04907336004450583E-006   0.0000000000000000     
   11.000000000000000       1.04907336004450583E-006   0.0000000000000000     
   12.000000000000000       1.04907336004450583E-006   0.0000000000000000     
   13.000000000000000       1.04907336004450583E-006   0.0000000000000000     
   14.000000000000000       1.04907336004450583E-006   0.0000000000000000     
   15.000000000000000       1.04907336004450583E-006   0.0000000000000000     
   16.000000000000000       1.04907336004450583E-006   0.0000000000000000     
   17.000000000000000       1.04907336004450583E-006   0.0000000000000000     
   18.000000000000000       1.04907336004450583E-006   0.0000000000000000     
   19.000000000000000       1.04907336004450583E-006   0.0000000000000000     
   20.000000000000000       1.04907336004450583E-006   0.0000000000000000     
   21.000000000000000       1.04907336004450583E-006   0.0000000000000000     
   22.000000000000000       1.04907336004450583E-006   0.0000000000000000     
   23.000000000000000       1.04907336004450583E-006   0.0000000000000000     
   24.000000000000000       1.04907336004450583E-006   0.0000000000000000     
   25.000000000000000       1.04907336004450583E-006   0.0000000000000000     
   26.000000000000000       1.04907336004450583E-006   0.0000000000000000     
   27.000000000000000       1.04907336004450583E-006   0.0000000000000000     
   28.000000000000000       1.04907336004450583E-006   0.0000000000000000     
   29.000000000000000       1.04907336004450583E-006   0.0000000000000000     
   30.000000000000000       1.04907336004450583E-006   0.0000000000000000     
   31.000000000000000       1.04907336004450583E-006   0.0000000000000000     
   32.000000000000000       1.04907336004450583E-006   0.0000000000000000     
   33.000000000000000       1.04907336004450583E-006   0.0000000000000000     
   34.000000000000000       1.04907336004450583E-006   0.0000000000000000     
   35.000000000000000       1.04907336004450583E-006   0.0000000000000000     
   36.000000000000000       1.04907336004450583E-006   0.0000000000000000     
   37.000000000000000       1.04907336004450583E-006   0.0000000000000000     
   38.000000000000000       1.04907336004450583E-006   0.0000000000000000     
   39.000000000000000       1.04907336004450583E-006   0.0000000000000000     
   40.000000000000000       1.04907336004450583E-006   0.0000000000000000     
  3.28909347599617209E-312  1.04907336004450583E-006   0.0000000000000000     
   1.0000000000000000       1.22391892005184251E-006   0.0000000000000000     
   2.0000000000000000       1.22391892005184251E-006   0.0000000000000000     
   3.0000000000000000       1.22391892005184251E-006   0.0000000000000000     
   4.0000000000000000       1.22391892005184251E-006   0.0000000000000000     
   5.0000000000000000       1.22391892005184251E-006   0.0000000000000000     
   6.0000000000000000       1.22391892005184251E-006   0.0000000000000000     
   7.0000000000000000       1.22391892005184251E-006   0.0000000000000000     
   8.0000000000000000       1.22391892005184251E-006   0.0000000000000000     
   9.0000000000000000       1.22391892005184251E-006   0.0000000000000000     
   10.000000000000000       1.22391892005184251E-006   0.0000000000000000     
   11.000000000000000       1.22391892005184251E-006   0.0000000000000000     
   12.000000000000000       1.22391892005184251E-006   0.0000000000000000     
   13.000000000000000       1.22391892005184251E-006   0.0000000000000000     
   14.000000000000000       1.22391892005184251E-006   0.0000000000000000     
   15.000000000000000       1.22391892005184251E-006   0.0000000000000000     
   16.000000000000000       1.22391892005184251E-006   0.0000000000000000     
   17.000000000000000       1.22391892005184251E-006   0.0000000000000000     
   18.000000000000000       1.22391892005184251E-006   0.0000000000000000     
   19.000000000000000       1.22391892005184251E-006   0.0000000000000000     
   20.000000000000000       1.22391892005184251E-006   0.0000000000000000     
   21.000000000000000       1.22391892005184251E-006   0.0000000000000000     
   22.000000000000000       1.22391892005184251E-006   0.0000000000000000     
   23.000000000000000       1.22391892005184251E-006   0.0000000000000000     
   24.000000000000000       1.22391892005184251E-006   0.0000000000000000     
   25.000000000000000       1.22391892005184251E-006   0.0000000000000000     
   26.000000000000000       1.22391892005184251E-006   0.0000000000000000     
   27.000000000000000       1.22391892005184251E-006   0.0000000000000000     
   28.000000000000000       1.22391892005184251E-006   0.0000000000000000     
   29.000000000000000       1.22391892005184251E-006   0.0000000000000000     
   30.000000000000000       1.22391892005184251E-006   0.0000000000000000     
   31.000000000000000       1.22391892005184251E-006   0.0000000000000000     
   32.000000000000000       1.22391892005184251E-006   0.0000000000000000     
   33.000000000000000       1.22391892005184251E-006   0.0000000000000000     
   34.000000000000000       1.22391892005184251E-006   0.0000000000000000     
   35.000000000000000       1.22391892005184251E-006   0.0000000000000000     
   36.000000000000000       1.22391892005184251E-006   0.0000000000000000     
   37.000000000000000       1.22391892005184251E-006   0.0000000000000000     
   38.000000000000000       1.22391892005184251E-006   0.0000000000000000     
   39.000000000000000       1.22391892005184251E-006   0.0000000000000000     
   40.000000000000000       1.22391892005184251E-006   0.0000000000000000     
  3.28909347599617209E-312  1.22391892005184251E-006   0.0000000000000000     
   1.0000000000000000       1.39876448005914149E-006   0.0000000000000000     
   2.0000000000000000       1.39876448005914149E-006   0.0000000000000000     
   3.0000000000000000       1.39876448005914149E-006   0.0000000000000000     
   4.0000000000000000       1.39876448005914149E-006   0.0000000000000000     
   5.0000000000000000       1.39876448005914149E-006   0.0000000000000000     
   6.0000000000000000       1.39876448005914149E-006   0.0000000000000000     
   7.0000000000000000       1.39876448005914149E-006   0.0000000000000000     
   8.0000000000000000       1.39876448005914149E-006   0.0000000000000000     
   9.0000000000000000       1.39876448005914149E-006   0.0000000000000000     
   10.000000000000000       1.39876448005914149E-006   0.0000000000000000     
   11.000000000000000       1.39876448005914149E-006   0.0000000000000000     
   12.000000000000000       1.39876448005914149E-006   0.0000000000000000     
   13.000000000000000       1.39876448005914149E-006   0.0000000000000000     
   14.000000000000000       1.39876448005914149E-006   0.0000000000000000     
   15.000000000000000       1.39876448005914149E-006   0.0000000000000000     
   16.000000000000000       1.39876448005914149E-006   0.0000000000000000     
   17.000000000000000       1.39876448005914149E-006   0.0000000000000000     
   18.000000000000000       1.39876448005914149E-006   0.0000000000000000     
   19.000000000000000       1.39876448005914149E-006   0.0000000000000000     
   20.000000000000000       1.39876448005914149E-006   0.0000000000000000     
   21.000000000000000       1.39876448005914149E-006   0.0000000000000000     
   22.000000000000000       1.39876448005914149E-006   0.0000000000000000     
   23.000000000000000       1.39876448005914149E-006   0.0000000000000000     
   24.000000000000000       1.39876448005914149E-006   0.0000000000000000     
   25.000000000000000       1.39876448005914149E-006   0.0000000000000000     
   26.000000000000000       1.39876448005914149E-006   0.0000000000000000     
   27.000000000000000       1.39876448005914149E-006   0.0000000000000000     
   28.000000000000000       1.39876448005914149E-006   0.0000000000000000     
   29.000000000000000       1.39876448005914149E-006   0.0000000000000000     
   30.000000000000000       1.39876448005914149E-006   0.0000000000000000     
   31.000000000000000       1.39876448005914149E-006   0.0000000000000000     
   32.000000000000000       1.39876448005914149E-006   0.0000000000000000     
   33.000000000000000       1.39876448005914149E-006   0.0000000000000000     
   34.000000000000000       1.39876448005914149E-006   0.0000000000000000     
   35.000000000000000       1.39876448005914149E-006   0.0000000000000000     
   36.000000000000000       1.39876448005914149E-006   0.0000000000000000     
   37.000000000000000       1.39876448005914149E-006   0.0000000000000000     
   38.000000000000000       1.39876448005914149E-006   0.0000000000000000     
   39.000000000000000       1.39876448005914149E-006   0.0000000000000000     
   40.000000000000000       1.39876448005914149E-006   0.0000000000000000     
  3.28909347599617209E-312  1.39876448005914149E-006   0.0000000000000000     
   1.0000000000000000       1.57361004006639791E-006   0.0000000000000000     
   2.0000000000000000       1.57361004006639791E-006   0.0000000000000000     
   3.0000000000000000       1.57361004006639791E-006   0.0000000000000000     
   4.0000000000000000       1.57361004006639791E-006   0.0000000000000000     
   5.0000000000000000       1.57361004006639791E-006   0.0000000000000000     
   6.0000000000000000       1.57361004006639791E-006   0.0000000000000000     
   7.0000000000000000       1.57361004006639791E-006   0.0000000000000000     
   8.0000000000000000       1.57361004006639791E-006   0.0000000000000000     
   9.0000000000000000       1.57361004006639791E-006   0.0000000000000000     
   10.000000000000000       1.57361004006639791E-006   0.0000000000000000     
   11.000000000000000       1.57361004006639791E-006   0.0000000000000000     
   12.000000000000000       1.57361004006639791E-006   0.0000000000000000     
   13.000000000000000       1.57361004006639791E-006   0.0000000000000000     
   14.000000000000000       1.57361004006639791E-006   0.0000000000000000     
   15.000000000000000       1.57361004006639791E-006   0.0000000000000000     
   16.000000000000000       1.57361004006639791E-006   0.0000000000000000     
   17.000000000000000       1.57361004006639791E-006   0.0000000000000000     
   18.000000000000000       1.57361004006639791E-006   0.0000000000000000     
   19.000000000000000       1.57361004006639791E-006   0.0000000000000000     
   20.000000000000000       1.57361004006639791E-006   0.0000000000000000     
   21.000000000000000       1.57361004006639791E-006   0.0000000000000000     
   22.000000000000000       1.57361004006639791E-006   0.0000000000000000     
   23.000000000000000       1.57361004006639791E-006   0.0000000000000000     
   24.000000000000000       1.57361004006639791E-006   0.0000000000000000     
   25.000000000000000       1.57361004006639791E-006   0.0000000000000000     
   26.000000000000000       1.57361004006639791E-006   0.0000000000000000     
   27.000000000000000       1.57361004006639791E-006   0.0000000000000000     
   28.000000000000000       1.57361004006639791E-006   0.0000000000000000     
   29.000000000000000       1.57361004006639791E-006   0.0000000000000000     
   30.000000000000000       1.57361004006639791E-006   0.0000000000000000     
   31.000000000000000       1.57361004006639791E-006   0.0000000000000000     
   32.000000000000000       1.57361004006639791E-006   0.0000000000000000     
   33.000000000000000       1.57361004006639791E-006   0.0000000000000000     
   34.000000000000000       1.57361004006639791E-006   0.0000000000000000     
   35.000000000000000       1.57361004006639791E-006   0.0000000000000000     
   36.000000000000000       1.57361004006639791E-006   0.0000000000000000     
   37.000000000000000       1.57361004006639791E-006   0.0000000000000000     
   38.000000000000000       1.57361004006639791E-006   0.0000000000000000     
   39.000000000000000       1.57361004006639791E-006   0.0000000000000000     
   40.000000000000000       1.57361004006639791E-006   0.0000000000000000     
  3.28909347599617209E-312  1.57361004006639791E-006   0.0000000000000000     
   1.0000000000000000       1.74845560007360626E-006   0.0000000000000000     
   2.0000000000000000       1.74845560007360626E-006   0.0000000000000000     
   3.0000000000000000       1.74845560007360626E-006   0.0000000000000000     
   4.0000000000000000       1.74845560007360626E-006   0.0000000000000000     
   5.0000000000000000       1.74845560007360626E-006   0.0000000000000000     
   6.0000000000000000       1.74845560007360626E-006   0.0000000000000000     
   7.0000000000000000       1.74845560007360626E-006   0.0000000000000000     
   8.0000000000000000       1.74845560007360626E-006   0.0000000000000000     
   9.0000000000000000       1.74845560007360626E-006   0.0000000000000000     
   10.000000000000000       1.74845560007360626E-006   0.0000000000000000     
   11.000000000000000       1.74845560007360626E-006   0.0000000000000000     
   12.000000000000000       1.74845560007360626E-006   0.0000000000000000     
   13.000000000000000       1.74845560007360626E-006   0.0000000000000000     
   14.000000000000000       1.74845560007360626E-006   0.0000000000000000     
   15.000000000000000       1.74845560007360626E-006   0.0000000000000000     
   16.000000000000000       1.74845560007360626E-006   0.0000000000000000     
   17.000000000000000       1.74845560007360626E-006   0.0000000000000000     
   18.000000000000000       1.74845560007360626E-006   0.0000000000000000     
   19.000000000000000       1.74845560007360626E-006   0.0000000000000000     
   20.000000000000000       1.74845560007360626E-006   0.0000000000000000     
   21.000000000000000       1.74845560007360626E-006   0.0000000000000000     
   22.000000000000000       1.74845560007360626E-006   0.0000000000000000     
   23.000000000000000       1.74845560007360626E-006   0.0000000000000000     
   24.000000000000000       1.74845560007360626E-006   0.0000000000000000     
   25.000000000000000       1.74845560007360626E-006   0.0000000000000000     
   26.000000000000000       1.74845560007360626E-006   0.0000000000000000     
   27.000000000000000       1.74845560007360626E-006   0.0000000000000000     
   28.000000000000000       1.74845560007360626E-006   0.0000000000000000     
   29.000000000000000       1.74845560007360626E-006   0.0000000000000000     
   30.000000000000000       1.74845560007360626E-006   0.0000000000000000     
   31.000000000000000       1.74845560007360626E-006   0.0000000000000000     
   32.000000000000000       1.74845560007360626E-006   0.0000000000000000     
   33.000000000000000       1.74845560007360626E-006   0.0000000000000000     
   34.000000000000000       1.74845560007360626E-006   0.0000000000000000     
   35.000000000000000       1.74845560007360626E-006   0.0000000000000000     
   36.000000000000000       1.74845560007360626E-006   0.0000000000000000     
   37.000000000000000       1.74845560007360626E-006   0.0000000000000000     
   38.000000000000000       1.74845560007360626E-006   0.0000000000000000     
   39.000000000000000       1.74845560007360626E-006   0.0000000000000000     
   40.000000000000000       1.74845560007360626E-006   0.0000000000000000     
  3.28909347599617209E-312  1.74845560007360626E-006   0.0000000000000000     
   1.0000000000000000       1.92330116008076104E-006   0.0000000000000000     
   2.0000000000000000       1.92330116008076104E-006   0.0000000000000000     
   3.0000000000000000       1.92330116008076104E-006   0.0000000000000000     
   4.0000000000000000       1.92330116008076104E-006   0.0000000000000000     
   5.0000000000000000       1.92330116008076104E-006   0.0000000000000000     
   6.0000000000000000       1.92330116008076104E-006   0.0000000000000000     
   7.0000000000000000       1.92330116008076104E-006   0.0000000000000000     
   8.0000000000000000       1.92330116008076104E-006   0.0000000000000000     
   9.0000000000000000       1.92330116008076104E-006   0.0000000000000000     
   10.000000000000000       1.92330116008076104E-006   0.0000000000000000     
   11.000000000000000       1.92330116008076104E-006   0.0000000000000000     
   12.000000000000000       1.92330116008076104E-006   0.0000000000000000     
   13.000000000000000       1.92330116008076104E-006   0.0000000000000000     
   14.000000000000000       1.92330116008076104E-006   0.0000000000000000     
   15.000000000000000       1.92330116008076104E-006   0.0000000000000000     
   16.000000000000000       1.92330116008076104E-006   0.0000000000000000     
   17.000000000000000       1.92330116008076104E-006   0.0000000000000000     
   18.000000000000000       1.92330116008076104E-006   0.0000000000000000     
   19.000000000000000       1.92330116008076104E-006   0.0000000000000000     
   20.000000000000000       1.92330116008076104E-006   0.0000000000000000     
   21.000000000000000       1.92330116008076104E-006   0.0000000000000000     
   22.000000000000000       1.92330116008076104E-006   0.0000000000000000     
   23.000000000000000       1.92330116008076104E-006   0.0000000000000000     
   24.000000000000000       1.92330116008076104E-006   0.0000000000000000     
   25.000000000000000       1.92330116008076104E-006   0.0000000000000000     
   26.000000000000000       1.92330116008076104E-006   0.0000000000000000     
   27.000000000000000       1.92330116008076104E-006   0.0000000000000000     
   28.000000000000000       1.92330116008076104E-006   0.0000000000000000     
   29.000000000000000       1.92330116008076104E-006   0.0000000000000000     
   30.000000000000000       1.92330116008076104E-006   0.0000000000000000     
